type	target1	target2	alg
0   	6      	18     	"[U D2 : [R U' R' , D']]"
0   	6      	19     	"[R' D R2 : [U , R' D' R]]"
0   	6      	21     	"[U D R D' : [R' D R , U']]"
0   	6      	22     	"[U R2 : [U' , R' D R]]"
0   	6      	23     	"[D R : [F2 , R' U R U']]"
0   	7      	0      	"[U' : [R D' R' , U2]]"
0   	7      	1      	"[U' , R D' R']"
0   	7      	3      	"[U' : [R D' R' , U']]"
0   	7      	4      	"[R D' : [R D R' , U]]"
0   	7      	5      	"[U' R U' : [D' , R' U R]]"
0   	7      	6      	"[D R' : [F' , R D' R']]"
0   	7      	8      	"[R U D : [R' D R , U2]]"
0   	7      	10     	"[l' U : [R U' R' , D]]"
0   	7      	11     	"[D : [R U R' , D]]"
0   	7      	13     	"[U R : [U2 , R D' R']]"
0   	7      	14     	"[R D : [R' U R , D2]]"
0   	7      	15     	"[R U R' , D2]"
0   	7      	16     	"[R , U' L U]"
0   	7      	17     	"[U2 R : [U , R D' R']]"
0   	7      	19     	"[D' : [R U R' , D']]"
0   	7      	20     	"[D' R D' U' : [R' U R , D2]]"
0   	7      	21     	"[D2 R : [U' , R D' R']]"
0   	7      	22     	"[R D' R' : [U , R' D R]]"
0   	8      	0      	"[l' D' U : [R D R' , U2]]"
0   	8      	1      	"[R2 U' : [D' , R U R']]"
0   	8      	4      	"[l' U : [R D' R' , U2]]"
0   	8      	6      	"[D R' : [F2 , R D' R' D]]"
0   	8      	7      	"[R U' D : [R' D R , U2]]"
0   	8      	10     	"[R' : [F2 , R D' R' D]]"
0   	8      	11     	"[R U' : [R' D R , U2]]"
0   	8      	13     	"[R D' R2' D R2 : [U' , R2' D' R2 D R2']]"
0   	8      	14     	"[R D' U' : [R' D R , U2]]"
0   	8      	15     	"[D R U' : [R' D' R , U2]]"
0   	8      	16     	"[R D' U' : [R' D' R , U2]]"
0   	8      	17     	"[R2 U' R U' : [R' D' R , U2]]"
0   	8      	18     	"[D' R D' U' : [R' D R , U2]]"
0   	8      	19     	"[R U' : [R' D' R , U2]]"
0   	8      	20     	"[R D U' : [R' D' R , U2]]"
0   	8      	21     	"[L D' : [F2 , D L' D' L]]"
0   	8      	22     	"[D R : [U2 , R D' R']]"
0   	8      	23     	"[R2 U : [R' U R , D']]"
0   	10     	0      	"[D U' : [R D R' , U2]]"
0   	10     	1      	"[D' : [R' D R , U]]"
0   	10     	3      	"[D' : [R' D R , U']]"
0   	10     	4      	"[U D' R' : [U' , R' D R]]"
0   	10     	5      	"[R : [F , R' U R U']]"
0   	10     	6      	"[U : [D , R U' R']]"
0   	10     	7      	"[U R U' : [R D' R' , U']]"
0   	10     	8      	"[D' R' D : [F2 , D' R D R']]"
0   	10     	11     	"[D' R' D : [F' , D' R D R']]"
0   	10     	13     	"[U' R' U' : [R D R' , U2]]"
0   	10     	14     	"[U : [D' , R U' R']]"
0   	10     	16     	"[D' R' U : [D , R U' R']]"
0   	10     	17     	"[D R' U2 : [R' D' R , U']]"
0   	10     	18     	"[U : [D2 , R U' R']]"
0   	10     	19     	"[R U R' U' : [R U R' , D']]"
0   	10     	20     	"[R : [F2 , R' U R U']]"
0   	10     	22     	"[U R D' : [R' D R , U']]"
